Title,Year,Duration,Rating,Gross,Genre
Avatar,2009,162 min,7.9,$760.51M,"Action, Adventure, Fantasy"
Avengers: Endgame,2019,181 min,8.4,$858.37M,"Action, Adventure, Drama"
Titanic,1997,194 min,7.9,$659.33M,"Drama, Romance"
Star Wars: Episode VII - The Force Awakens,2015,138 min,7.8,$936.66M,"Action, Adventure, Sci-Fi"
Avengers: Infinity War,2018,149 min,8.4,$678.82M,"Action, Adventure, Sci-Fi"
Spider-Man: No Way Home,2021,148 min,8.2,$804.75M,"Action, Adventure, Fantasy"
Jurassic World,2015,124 min,6.9,$652.27M,"Action, Adventure, Sci-Fi"
The Lion King(2019),2019,118 min,6.8,$543.64M,"Animation, Adventure, Drama"
The Avengers,2012,143 min,8,$623.28M,"Action, Sci-Fi"
Avatar: The Way of Water,2022,192 min,7.7,$659.68M,"Action, Adventure, Fantasy"
Fast & Furious 7,2015,137 min,7.1,$353.01M,"Action, Crime, Thriller"
Top Gun: Maverick,2022,130 min,8.3,$718.73M,"Action, Drama"
Frozen II,2019,103 min,6.8,$477.37M,"Animation, Adventure, Comedy"
Avengers: Age of Ultron,2015,141 min,7.3,$459.01M,"Action, Adventure, Sci-Fi"
Black Panther,2018,134 min,7.3,$700.06M,"Action, Adventure, Sci-Fi"
Harry Potter and the Deathly Hallows: Part 2,2011,130 min,8.1,$381.01M,"Adventure, Family, Fantasy"
Star Wars: Episode VIII - The Last Jedi,2017,152 min,6.9,$620.18M,"Action, Adventure, Fantasy"
Jurassic World: Fallen Kingdom,2018,128 min,6.1,$417.72M,"Action, Adventure, Sci-Fi"
Frozen,2013,102 min,7.4,$400.74M,"Animation, Adventure, Comedy"
Beauty and the Beast,2017,129 min,7.1,$504.01M,"Adventure, Family, Fantasy"
Incredibles 2,2018,118 min,7.6,$608.58M,"Animation, Action, Adventure"
The Fate of the Furious,2017,136 min,6.6,$226.01M,"Action, Crime, Thriller"
Iron Man Three,2013,130 min,7.1,$409.01M,"Action, Adventure, Sci-Fi"
